Rk,Team,Date,SCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
159,Tottenham,2024-09-21,38,,Brentford,eng Premier League,W 3-1,3,1,+2,48,3,0,0,0,38,30,1,3,4,0,0,Match Report
160,Real Madrid,2024-09-01,38,,Betis,es La Liga,W 2-0,2,0,+2,60,1,1,1,0,38,27,4,1,4,2,0,Match Report
161,Werder Bremen,2025-01-19,38,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,38,29,5,0,2,2,0,Match Report
162,Liverpool,2024-09-21,38,,Bournemouth,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,38,30,1,6,0,1,0,Match Report
163,Newcastle Utd,2024-10-19,38,,Brighton,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,38,25,4,2,3,3,1,Match Report
164,Rennes,2025-01-18,38,,Brest,fr Ligue 1,L 1-2,1,2,-1,68,1,0,0,0,38,24,4,2,4,3,1,Match Report
165,Manchester City,2025-01-14,38,@,Brentford,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,38,35,1,1,1,0,0,Match Report
166,Leverkusen,2024-12-21,38,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,38,28,3,2,3,1,1,Match Report
167,Leverkusen,2024-11-23,38,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,38,32,1,4,0,0,1,Match Report
168,Leverkusen,2024-09-22,38,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,38,23,4,4,6,1,0,Match Report
169,Brentford,2024-10-26,38,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,38,32,4,0,0,2,0,Match Report
170,Roma,2024-12-07,38,,Lecce,it Serie A,W 4-1,4,1,+3,59,4,0,0,0,38,24,4,1,6,2,1,Match Report
171,Brighton,2024-08-31,38,@,Arsenal,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,38,24,4,2,6,2,0,Match Report
172,Milan,2024-12-15,38,,Genoa,it Serie A,D 0-0,0,0,0,57,0,0,0,0,38,30,1,2,3,2,0,Match Report
173,Lens,2025-03-01,38,,Le Havre,fr Ligue 1,L 3-4,3,4,-1,69,2,1,1,0,38,26,6,2,2,2,0,Match Report
174,Fulham,2025-01-14,38,@,West Ham,eng Premier League,L 2-3,2,3,-1,56,2,0,0,0,38,29,2,1,3,1,2,Match Report
175,Osasuna,2024-11-02,37,,Valladolid,es La Liga,W 1-0,1,0,+1,49,0,1,1,0,37,29,4,1,2,1,0,Match Report
176,Arsenal,2024-11-23,37,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,37,31,1,3,2,0,0,Match Report
177,Bologna,2024-11-02,37,,Lecce,it Serie A,W 1-0,1,0,+1,72,1,0,0,0,37,27,4,0,4,2,0,Match Report
178,Bologna,2024-08-18,37,,Udinese,it Serie A,D 1-1,1,1,0,73,0,1,1,0,37,21,6,1,6,2,1,Match Report
179,Barcelona,2025-03-27,37,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,37,32,0,3,0,2,0,Match Report
180,Barcelona,2025-01-18,37,@,Getafe,es La Liga,D 1-1,1,1,0,77,1,0,0,0,37,32,0,1,3,1,0,Match Report
181,Villarreal,2024-09-14,37,@,Mallorca,es La Liga,W 2-1,2,1,+1,47,2,0,0,0,37,29,2,1,1,2,2,Match Report
